133797,5630,334233751,34.008157,-118.476095,2055 115,136588,5695,334233751,34.004331,-118.476611,2430 2764 2547 2261 355
137254,5710,334233751,34.007793,-118.476013,2728 1414 1367,142902,5839,334233751,34.005412,-118.474745,2706 134
150725,6459,334233751,34.008993,-118.476568,2760 2883 2706,152809,6538,334233751,34.00979,-118.480051,976 1051 2554
50516,2313,305791160,34.157313,-118.284847,2147 296,55287,2487,305791160,34.157597,-118.285188,2681 607 1336
149688,6411,305791160,34.15596,-118.425642,347 289 3066 1226 1799,154797,6611,305791160,34.157597,-118.285188,2595 587 2463 1336
154797,6611,305791160,34.157597,-118.285188,2595 587 2463 1336,160705,6829,305791160,34.187049,-118.38697,1120 1726 788
165080,6985,305791160,34.194172,-118.391235,126 1038 1012 2466 843 189,171007,7171,305791160,34.194083,-118.391237,13 3005 1080 2714 1231 2690 655 2481 3026 2690 1231
171007,7171,305791160,34.194083,-118.391237,13 3005 1080 2714 1231 2690 655 2481 3026 2690 1231,176590,7347,305791160,34.101251,-118.344904,2767
199141,8473,305791160,34.19406,-118.391182,1774 216 555 216 555 1127 235,204776,8632,305791160,34.102503,-118.29162,1250 1434 2486
204776,8632,305791160,34.102503,-118.29162,1250 1434 2486,209801,8789,305791160,34.187368,-118.38503,906 901
253814,10826,305791160,34.154153,-118.285503,104 1369 711 324 917,257246,10958,305791160,34.157513,-118.284935,1291 452
174910,7279,89522363,34.01377,-118.495673,693 235,177263,7395,89522363,34.013382,-118.49566,1156 686 1038 2001 2169 2819
26455,1243,97386693,34.141587,-118.223969,2761 2317 865 1963 2021 1325 2223,29772,1325,97386693,34.110242,-118.190685,2682 2308 2315 1719 532 2452
127797,5463,475223416,34.042855,-118.269985,1753 2819,131129,5562,475223416,34.042854,-118.270007,1753 235 590
60656,2675,121635026,34.136289,-118.361085,1286 1378 1565 2495 168,71227,2915,121635026,34.143601,-118.375994,396 168 3074 2551
200684,8517,483655893,34.241878,-118.425969,103 93 87 1486,207048,8698,483655893,34.25221,-118.415493,1331 1285 2870 1770
19221,993,15991036,34.021193,-118.452505,593 1990 2190,20887,1061,15991036,34.043331,-118.267187,1612 1925 1298 1787
20887,1061,15991036,34.043331,-118.267187,1612 1925 1298 1787,23107,1144,15991036,34.147322,-118.34186,1653 856 354
156155,6658,15991036,34.118137,-118.300428,542 1989,158520,6747,15991036,34.137143,-118.35554,3011 379 1336 1870
189983,8164,15991036,34.016011,-118.28618,880 1787,192014,8231,15991036,34.015866,-118.284076,308 2661
